Created as New Dataset,
cm-1,A
2641.00,1.6702
2640.00,1.6695
2639.00,1.6688
2638.00,1.6680
2637.00,1.6672
2636.00,1.6665
2635.00,1.6660
2634.00,1.6656
2633.00,1.6653
2632.00,1.6649
2631.00,1.6644
2630.00,1.6636
2629.00,1.6626
2628.00,1.6617
2627.00,1.6610
2626.00,1.6605
2625.00,1.6599
2624.00,1.6592
2623.00,1.6585
2622.00,1.6580
2621.00,1.6578
2620.00,1.6576
2619.00,1.6572
2618.00,1.6566
2617.00,1.6560
2616.00,1.6553
2615.00,1.6545
2614.00,1.6536
2613.00,1.6527
2612.00,1.6520
